,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Pick-a-Brick,-,-,Retiring Pick-a-Brick Pieces,-,-,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,-,30703,Julian's Beach Painting (Polybag),6+,43,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,- ,77046,Julian's Birthday Party,6+,170,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,- ,77047,Bunnie's Outdoor Activities,6+,164,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,- ,77048,Kapp'n's Island Boat Tour,6+,233,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,- ,77049,Isabelle's House Visit,6+,389,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,- ,77050,Nook's Cranny & Rosie's House,7+,535,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,-,77051,Fly with Dodo Airlines,7+,292,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,-,77052,K.K.'s Concert at the Plaza,7+,550,"Dec 31, 2025",US,CA,UK,AU,MX,
Animal Crossing,-,77054,Leif's Caravan & Garden Shop,7+,263,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77055,Able Sisters' Clothing Shop,6+,322,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77057,Creative Houses: Seasons of Fun,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77053,Stargazing with Celeste,6+,78,"Dec 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77056,Blathers's Museum Collection,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77058,Goldie's Cosy House,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21028,New York City,12+,598,"Dec 31, 2025",US,CA,UK,AU,MX,
Architecture,- ,21044,Paris,12+,649,"Dec 31, 2025",US,CA,UK,AU,MX,
Architecture,- ,21042,Statue of Liberty,16+,1685,"Jul 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21058,The Great Pyramid of Giza,18+,1476,"Jul 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21060,Himeji Castle,18+,2125,"Dec 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21034,London,12+,468,"Jul 31, 2027",US,CA,UK,AU,MX,
Architecture,LEGO House,21037,LEGO House,12+,774,"Jul 31, 2027",US,CA,UK,AU,MX,(EU) Exclusive to LEGO | (WW) The LEGO House
Architecture,-,21061,Notre-Dame de Paris,18+,4383,"Dec 31, 2027",US,CA,UK,AU,MX,
Architecture,-,21062,Trevi Fountain,18+,1880,"Dec 31, 2028",US,CA,UK,AU,MX,
Architecture,-,21063,Neuschwanstein Castle,18+,3455,"Dec 31, 2028",US,CA,UK,AU,MX,
Architecture,-,21064,Paris,18+,958,"Dec 31, 2028",US,CA,UK,AU,MX,
Art,- ,31208,Hokusai - The Great Wave,18+,1810,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,-,31213,Mona Lisa,18+,1503,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,Fauna Collection,31217,The Fauna Collection - Tiger,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,-,31216,Keith Haring - Dancing Figures,18+,1773,"Dec 31, 2026",US,CA,UK,AU,MX,
Art,Space,31212,The Milky Way Galaxy,18+,3091,"Dec 31, 2027",US,CA,UK,AU,MX,
Art,-,31214,LOVE,18+,791,"Dec 31, 2027",US,CA,UK,AU,MX,
Art,-,31215,Vincent van Gogh - Sunflowers,18+,2615,"Dec 31, 2027",US,CA,UK,AU,MX,
Art,-,31218,Japanese Cherry Blossom Landscape,18+,1892,"Dec 31, 2028",US,CA,UK,AU,MX,
Bluey,-,11201,Playground Fun with Bluey and Chloe,4+,104,"Dec 31, 2026",US,CA,UK,AU,MX,
Bluey,-,11202,Bluey's Beach & Family Car Trip,4+,133,"Dec 31, 2026",US,CA,UK,AU,MX,
Bluey,-,30687,Bluey Tea Party (Polybag),4+,33,"Dec 31, 2026",US,CA,UK,AU,MX,
Bluey,-,11203,Bluey's Family House,4+,382,"Dec 31, 2027",US,CA,UK,AU,MX,
Botanicals,Multipack,66809,Evergreen Collector's Set,18+,599,"Dec 31, 2025",n/a,n/a,n/a,n/a,n/a,"(Contains 10343, 10344)"
Botanicals,Botanical Collection,10345,Flower Arrangement,18+,1161,"Dec 31, 2026",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,30701,Field Flowers,9,77,"Dec 31, 2026",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10373,Mini Bonsai Trees,18+,709,"Jul 31, 2027",US,CA,UK,AU,MX,(US) Amazon exclusive
Botanicals,Botanical Collection,10343,Mini Orchid,18+,274,"Dec 31, 2027",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10344,Lucky Bamboo,18+,325,"Dec 31, 2027",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10348,Japanese Maple Tree,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10349,Happy Plants,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10372,Hibiscus,18+,660,"Dec 31, 2027",US,CA,UK,AU,MX,(US) TBA exclusive
Botanicals,Botanical Collection,10342,Pretty Pink Flower Bouquet,18+,749,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10347,Petite Sunny Bouquet,9+,373,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10374,Bouquet of Pink Roses,18+,789,"Dec 31, 2028",US,CA,UK,AU,MX,(WW) Exclusive to TBA
Botanicals,Botanical Collection,11501,Tulip Bouquet,18+,576,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11504,Peace Lily,18+,474,"Dec 31, 2028",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,11508,Daisies,9+,133,"Dec 31, 2028",US,CA,UK,AU,MX,
